n_simulations,seed,p_return,p_ratio,p_sharpe,seconds
100,1000,0.03,0.92,0.99,0.0025328999618068337
100,1001,0.06,0.87,0.93,0.0020255999988876283
100,1002,0.08,0.92,0.98,0.001908999984152615
100,1003,0.07,0.92,0.96,0.0014868000289425254
100,1004,0.05,0.89,0.97,0.0014965999871492386
100,1005,0.07,0.86,0.94,0.0014915000065229833
100,1006,0.04,0.93,0.98,0.0014762000064365566
100,1007,0.06,0.88,0.97,0.0014810999855399132
100,1008,0.11,0.84,0.93,0.0014775999588891864
100,1009,0.08,0.87,0.97,0.0014755000011064112
100,1010,0.03,0.86,0.92,0.0014744999934919178
100,1011,0.04,0.92,0.97,0.0017920000245794654
250,1000,0.048,0.9,0.976,0.006808799982536584
250,1001,0.056,0.86,0.94,0.006172000023070723
250,1002,0.068,0.908,0.976,0.005887500010430813
250,1003,0.044,0.868,0.952,0.005672799947205931
250,1004,0.044,0.904,0.964,0.0058617000468075275
250,1005,0.072,0.86,0.956,0.005742299952544272
250,1006,0.048,0.9,0.964,0.005759200023021549
250,1007,0.068,0.856,0.944,0.006244599993806332
250,1008,0.088,0.856,0.956,0.006966999964788556
250,1009,0.068,0.884,0.956,0.006505099998321384
250,1010,0.044,0.852,0.92,0.005751200020313263
250,1011,0.036,0.916,0.96,0.005715399980545044
500,1000,0.074,0.906,0.968,0.011090399988461286
500,1001,0.05,0.866,0.94,0.010985700006131083
500,1002,0.066,0.886,0.962,0.0107962999609299
500,1003,0.044,0.866,0.954,0.012693300028331578
500,1004,0.05,0.886,0.952,0.012356900027953088
500,1005,0.074,0.862,0.952,0.010853199986740947
500,1006,0.044,0.878,0.958,0.010949899966362864
500,1007,0.064,0.868,0.946,0.012390199990477413
500,1008,0.076,0.874,0.96,0.012639200023841113
500,1009,0.058,0.86,0.954,0.01153740001609549
500,1010,0.042,0.866,0.928,0.011186899966560304
500,1011,0.042,0.88,0.95,0.010745200037490577
1000,1000,0.061,0.886,0.962,0.021711799956392497
1000,1001,0.053,0.857,0.945,0.020842400030232966
1000,1002,0.068,0.883,0.966,0.02149810001719743
1000,1003,0.052,0.873,0.96,0.02306420000968501
1000,1004,0.048,0.868,0.952,0.0209055999876
1000,1005,0.068,0.862,0.954,0.02173949999269098
1000,1006,0.051,0.882,0.957,0.023887199989985675
1000,1007,0.062,0.858,0.943,0.022130299999844283
1000,1008,0.066,0.883,0.966,0.020946400007233024
1000,1009,0.056,0.848,0.951,0.020866099977865815
1000,1010,0.045,0.852,0.935,0.021513299958314747
1000,1011,0.048,0.862,0.947,0.020417099993210286
2500,1000,0.0576,0.8744,0.9596,0.0561652000178583
2500,1001,0.0524,0.866,0.9516,0.0543902000063099
2500,1002,0.0616,0.8796,0.9632,0.05714869999792427
2500,1003,0.0548,0.8744,0.9572,0.05393170000752434
2500,1004,0.0508,0.8636,0.9556,0.05608310003299266
2500,1005,0.0648,0.8684,0.96,0.055513300001621246
2500,1006,0.054,0.8756,0.9572,0.058149399992544204
2500,1007,0.0584,0.8688,0.9524,0.059069400012958795
2500,1008,0.0624,0.8732,0.9556,0.06208810000680387
2500,1009,0.06,0.8516,0.9516,0.056392300000879914
2500,1010,0.0564,0.8616,0.946,0.052505800034850836
2500,1011,0.054,0.8728,0.9536,0.051873399992473423
5000,1000,0.0566,0.879,0.9594,0.11204169999109581
5000,1001,0.0576,0.8724,0.9564,0.11427930003264919
5000,1002,0.0604,0.8762,0.9586,0.11514359997818246
5000,1003,0.056,0.8734,0.9524,0.11766379995970055
5000,1004,0.057,0.867,0.9566,0.11545729998033494
5000,1005,0.0614,0.8722,0.9582,0.11641509999753907
5000,1006,0.0534,0.8748,0.9578,0.12841060000937432
5000,1007,0.0556,0.8706,0.9548,0.1323223999934271
5000,1008,0.0642,0.8686,0.9564,0.12653700000373647
5000,1009,0.0616,0.8612,0.954,0.1383301999885589
5000,1010,0.0562,0.869,0.9492,0.14459869998972863
5000,1011,0.052,0.8668,0.9526,0.12562269996851683
10000,1000,0.0582,0.8788,0.9565,0.28607760003069416
10000,1001,0.0567,0.8672,0.9547,0.2939275999669917
10000,1002,0.0601,0.8703,0.9552,0.2669966000248678
10000,1003,0.0576,0.8684,0.9515,0.27119280002079904
10000,1004,0.0558,0.869,0.9563,0.26664180000079796
10000,1005,0.0583,0.873,0.9582,0.27304719999665394
10000,1006,0.0592,0.8733,0.9564,0.2601246000267565
10000,1007,0.0577,0.8705,0.9548,0.26209759997436777
10000,1008,0.0633,0.8711,0.9554,0.27291060000425205
10000,1009,0.0582,0.863,0.9521,0.2700841000187211
10000,1010,0.0567,0.8704,0.9525,0.26099850004538894
10000,1011,0.0552,0.8716,0.9542,0.2691736000124365
25000,1000,0.05888,0.87536,0.95544,0.8558911000145599
25000,1001,0.0574,0.865,0.95412,0.7900231999810785
25000,1002,0.06004,0.87048,0.95588,0.7333452999591827
25000,1003,0.05776,0.86988,0.95228,0.7087496999884024
25000,1004,0.05756,0.86996,0.9552,0.6760010999860242
25000,1005,0.05492,0.86948,0.95476,0.6554098000051454
25000,1006,0.05908,0.8716,0.95508,0.7208201999892481
25000,1007,0.05736,0.86892,0.95476,0.679362700029742
25000,1008,0.06056,0.8704,0.95576,0.7436852000537328
25000,1009,0.0568,0.86492,0.95352,0.7253669000347145
25000,1010,0.05736,0.8682,0.954,0.6752817999804392
25000,1011,0.05688,0.86828,0.95496,0.6493015000014566
50000,1000,0.05836,0.87026,0.95498,1.5254737000213936
50000,1001,0.0575,0.86878,0.9551,1.5627238000161014
50000,1002,0.05932,0.8703,0.9548,1.467382800008636
50000,1003,0.0576,0.86746,0.95348,1.3054212999995798
50000,1004,0.0576,0.86988,0.95458,1.3398998999618925
50000,1005,0.0565,0.8681,0.95496,1.3830327999894507
50000,1006,0.0592,0.8698,0.95444,1.3964650999987498
50000,1007,0.05724,0.86946,0.95492,1.381346600013785
50000,1008,0.0591,0.86878,0.9545,1.3439050000160933
50000,1009,0.05742,0.8673,0.95462,1.3808430999633856
50000,1010,0.05602,0.86864,0.95416,1.5731047000153922
